verdict	cat	fix	tier	flags	manual	headword	reading	glossEn	llm_ko	stdict_def	manual_reason	category	classSource	band	id
o			1	cat-mismatch	Y(1)	即興	そっきょう	improvisation; improvised; impromptu; extempore	즉흥	그 자리에서 바로 일어나는 감흥. 또는 그런 기분.		2	default	2	1404130
o			1	cat-mismatch	Y(1)	即売	そくばい	selling on the spot	즉석 판매	상품을 벌여 놓은 그 자리에서 당장 팔아 버림. 전시장이나 박람회 같은 데서 흔히 이루어진다.		2	default	2	1404300
o			1	cat-mismatch	Y(1)	集散	しゅうさん	collection (gathering) and distribution	집결; 분산	모여들었다 흩어졌다 함.		2	default	2	1659250
o			1	cat-mismatch	Y(1)	執着	しゅうちゃく	attachment; adhesion; insistence; tenacity	집착; 고착	어떤 것에 늘 마음이 쏠려 잊지 못하고 매달림.		2	default	2	1594740
o			1	cat-mismatch	Y(1)	炭田	たんでん	coalfield; coal field	탄광	석탄이 묻혀 있는 땅.		2	default	2	1661270
o			1	cat-mismatch	Y(1)	講話	こうわ	lecture; discourse	강연; 강설	강의하듯이 쉽게 풀어서 이야기함. 또는 그런 이야기.		2	default	3	1282380
o			1	cat-mismatch	Y(1)	極刑	きょっけい	capital punishment; death penalty; maximum penalty; ultimate punishment	사형	가장 무거운 형벌이라는 뜻으로, ‘사형’을 이르는 말.		2	default	3	1240290
o			1	cat-mismatch	Y(1)	難易	なんい	(relative) difficulty	난이도	어려움과 쉬움.		2	default	3	1460870
o			1	cat-mismatch	Y(1)	短文	たんぶん	short sentence; short piece of writing (e.g. passage, article, composition)	짧은 글	짧은 글.		2	default	3	1843470
o			1	cat-mismatch	Y(1)	大漁	たいりょう	big catch (fishing); good haul	큰 수확; 큰 어획	물고기가 많이 잡힘.		2	default	3	1413450
o			1	cat-mismatch	Y(1)	道化	どうけ	antics; buffoonery; clowning; clown	광대 놀이; 익살	도(道)로써 바른길로 이끎.		2	default	3	1454120
o			1	cat-mismatch	Y(1)	同量	どうりょう	same amount	동량	같은 분량.		2	default	3	1687800
o			1	cat-mismatch	Y(1)	刀剣	とうけん	sword; dagger; knife; bayonet	도검	칼과 검(劍)을 아울러 이르는 말.		2	default	3	1446490
o			1	cat-mismatch	Y(1)	万世	ばんせい	all ages; eternity	만세; 영원	아주 오랜 세대.		2	default	3	1526190
o			1	cat-mismatch	Y(1)	反射的	はんしゃてき	reflexive; reflecting	반사적인; 반사하는	어떤 자극에 순간적으로 무의식적 반응을 보이는 것.		2	default	3	1480470
o			1	cat-mismatch	Y(1)	病弊	びょうへい	evil influence; ill effect	병폐; 해로운 영향	병통과 폐단을 아울러 이르는 말.		2	default	3	1622320
o			1	cat-mismatch	Y(1)	複眼	ふくがん	compound eye	복안	홑눈이 벌집 모양으로 여러 개 모여 된 눈. 절지동물이나 다모강 따위에서 볼 수 있다. 여러 방향에 있는 물체의 형태를 동시에 식별할 수 있으며 곤충은 색채를 판별할 수 있다.		2	default	3	1501310
o			1	cat-mismatch	Y(1)	俸給	ほうきゅう	salary (esp. public employees); wages; pay	봉급	어떤 직장에서 계속적으로 일하는 사람이 그 일의 대가로 정기적으로 받는 일정한 보수.		2	default	3	1515280
o			1	cat-mismatch	Y(1)	不謹慎	ふきんしん	imprudent; indiscreet; immodest; indecent	경솔함; 부적절함	삼가고 조심하지 아니함.		2	default	3	1492010
o			1	cat-mismatch	Y(1)	不毛	ふもう	barren; sterile; infertile; unproductive (e.g. discussion)	황량함; 헛됨	땅이 거칠고 메말라 식물이 나거나 자라지 아니함.		2	default	3	1495110
o			1	cat-mismatch	Y(1)	不平	ふへい	discontent; dissatisfaction; complaint; grievance	불만; 불평	마음에 들지 아니하여 못마땅하게 여김. 또는 못마땅한 것을 말이나 행동으로 드러냄.		2	default	3	1494790
o			1	cat-mismatch	Y(1)	不確定	ふかくてい	uncertain; indefinite	불확실함; 정해지지 않음	일이나 계획 따위가 확실히 결정되어 있지 않음.		2	default	3	1740390
o			1	cat-mismatch	Y(1)	比類	ひるい	parallel; equal; match	비슷함; 견줄 만함	비슷한 종류.		2	default	3	1626940
o			1	cat-mismatch	Y(1)	査問	さもん	inquiry; enquiry; hearing	심문; 조사	조사하여 캐물음.		2	default	3	1291470
o			1	cat-mismatch	Y(1)	相思	そうし	mutual affection; mutual love	상호 애정; 서로 사랑함	서로 생각하고 그리워함.		2	default	3	1660790
o			1	cat-mismatch	Y(1)	庶民的	しょみんてき	popular; folksy; plebeian; ordinary	서민적인; 평범한	서민과 같은 것.		2	default	3	1343580
o			1	cat-mismatch	Y(1)	性病	せいびょう	sexually transmitted disease; STD; sexually transmitted infection; STI	성병	주로 불결한 성행위(性行爲)에 의하여 전염되는 병. 매독, 임질, 무른궤양, 클라미디아(chlamydia) 따위가 있다.		2	default	3	1375490
o			1	cat-mismatch	Y(1)	盛土	もりど	embankment (for road, railway, etc.); raising the ground level; fill	성토; 흙을 쌓음	흙을 쌓음.		2	default	3	1764400
o			1	cat-mismatch	Y(1)	原著	げんちょ	the original work	원저	번역하거나 번안한 것의 근본이 되는 저작.		2	default	3	1262130
o			1	cat-mismatch	Y(2)	島内	とうない	on an island; on-island	섬 안	어떤 도(道)의 구역 안.		3	llm	2	1446920
o			1	cat-mismatch	Y(2)	英知	えいち	wisdom; intelligence; sagacity	지혜; 지성	왕비나 왕대비 또는 왕세자나 황태자의 명령서.		3	llm	2	1588680
o			1	cat-mismatch	Y(1)	甘酢	あまず	sweet vinegar	달콤한 식초	감을 숙성시켜 만든 식초.		3	llm	3	1213540
o			2	kanji		渡航	とこう	voyage; passage; travelling	渡航; 여행	배를 타고 바다를 건넘.		1	llm	0	1444700
o			2	kanji		慰霊	いれい	consoling the spirits of the dead	위령(慰靈); 죽은 영혼을 위로함	죽은 사람의 영혼을 위로함.		1	llm	0	1613270
o			2	kanji		有無	うむ	existence or nonexistence; presence or absence; consent or refusal; yes or no	유무; 유무(有無)	있음과 없음.		1	llm	0	1541610
o			2	latin		披露	ひろう	announcement; presentation; demonstration; displaying	베<0xED><0x92><0x82>; 공개	문서 따위를 펴 보임.		1	llm	0	1483490
o			2	latin		国民総生産	こくみんそうせいさん	gross national product; GNP	국민총생산(GNP)	일정 기간 동안 한 나라의 국민이 생산한 재화와 용역의 부가 가치를 시장 가격으로 평가한 총액. 보통 1년간을 단위로 하며, 그 나라의 경제 규모를 재는 척도가 된다.		1	llm	0	1287100
o			2	kanji		湾岸	わんがん	gulf coast; bay coast	만(灣)가 있는 해안	만의 연안(沿岸).		1	llm	0	1562810
o			2	latin		交際	こうさい	company; friendship; association; society	교제; 사<0xEA><0xB7><0x90>	서로 사귀어 가까이 지냄.		1	llm	1	1271990
o			2	kanji		大河	たいが	large river; epic (of a novel, drama, etc.); long-form; large-scale	큰 강; 대하(大河)	큰 강.		1	llm	1	1581490
o			2	kanji		同人	どうじん	same person; said person; the person in question; coterie	동인(同人); 같은 취미를 가진 사람들	같은 사람.		1	llm	1	1582350
o			2	latin		放浪	ほうろう	wandering; roaming; drifting	방랑; 떠<0xEB><0x8F><0x8E>	정한 곳 없이 이리저리 떠돌아다님.		1	llm	1	1516900
o			2	kanji		本願	ほんがん	long-cherished desire; Amida Buddha's original vow	원망; 본원(本願)	본디부터 가진 큰 소원.		1	llm	1	1522360
o			2	kanji		部局	ぶきょく	department; bureau; section; part	부서; 부局	관공서 등에서 사무를 분담하여 다루는 곳. 국(局), 부(部), 과(課) 따위를 통틀어 이르는 말이다.		1	llm	1	1622120
o			2	kanji		師事	しじ	studying under; looking up to; apprenticing oneself to	스승 밑에서 배움; 사사(師事)	스승으로 섬김. 또는 스승으로 삼고 가르침을 받음.		1	llm	1	1308880
o			2	kanji		三省	さんせい	frequent reflection; frequent meditation	삼省; 자주 반성함	매일 세 번 자신을 반성함.		1	llm	1	1300870
o			2	latin		熟知	じゅくち	being familiar with; having a thorough knowledge of; being well-informed about	완벽히 <0xEC><0x95><0x8E>; 통달	익숙하게 또는 충분히 앎.		1	llm	1	1337890
o			2	latin		親密	しんみつ	intimacy; friendship	친밀함; 사<0xEA><0xB7><0x90>	지내는 사이가 매우 친하고 가까움.		1	llm	1	1365390
o			2	kanji		抗日	こうにち	resistance against Japanese aggression; anti-Japanese (campaign, movement, etc.)	반일(反日)	일본 제국주의에 맞서 싸움.		1	llm	1	1278970
o			2	kanji		懸賞	けんしょう	offering a prize; prize competition; prize; reward	懸賞; 상금	무엇을 모집하거나 구하거나 사람을 찾는 일 따위에 현금이나 물품 따위를 내걺. 또는 그 현금이나 물품.		1	llm	1	1257690
o			2	kanji		還暦	かんれき	kanreki; one's 60th birthday (or 61st in the traditional age reckoning system) when one has lived through a full sexagenary cycle	환갑(還暦); 60세	육십갑자의 ‘갑(甲)’으로 되돌아온다는 뜻으로, 태어난 지 60돌이 되는 해. 또는 그 나이.		1	llm	1	1215160
o			2	kanji		国歌	こっか	national anthem	국가(國歌)	나라를 대표·상징하는 노래. 그 나라의 이상이나 영예를 나타내며 주로 식전(式典)에서 연주·제창한다.		1	llm	1	1286220
o			2	kanji		旧姓	きゅうせい	one's original family name; maiden name	옛 성(姓); 본명	일본이나 미국 따위의 여러 나라에서, 여성이 결혼 전 친가에서 쓰던 성.		1	llm	1	1230930
o			2	error		浮遊	ふゆう	floating; drifting; suspension; wandering (about)		물 위나 물속, 또는 공기 중에 떠다님.		1	llm	2	1625100
o			2	latin		停泊	ていはく	anchorage; anchoring; mooring	정박; <0xEB><0x8B><0xBB>을 내림	배가 닻을 내리고 머무름.		1	llm	2	1435060
o			2	kanji	Y(2)	三時	さんじ	3 o'clock; afternoon snack (eaten around 3 o'clock); three ages of Buddhism (following the death of Gautama Buddha; age of the true law, age of the copied law, and age of the degeneration of the law); three ages of the dharma	3시; 불교의 삼법(三法)	하루 중 세 번의 끼니. 또는 그 끼니때.	일본어의 '三時'는 불교의 세 시대를 지칭하는 전문 용어로 쓰이는 반면, 한국 표준국어대사전의 '삼시'는 하루 세 끼 식사라는 일상적 의미를 가지므로 핵심 뜻이 갈린다.	2	manual	0	1300520
o			2	kanji		女形	おんながた	onnagata; male actor in female kabuki roles; female partner (in a relationship)	여장(女裝); 남성이 여성 역할을 하는 배우	여자처럼 보이는 남자 모습.		2	llm	1	1580250
o			2	kanji		反米	はんべい	anti-American	반미(反米)	미국에 반대함. 또는 미국에 반대되는 것.		2	llm	1	1480960
o			2	kanji		有事	ゆうじ	emergency	유사(有事); 비상사태	‘유사하다’의 어근.		2	llm	1	1745430
o			2	kanji		縁起	えんぎ	omen; sign of luck; origin; history	상서로움; 기원; 연기(緣起)	모든 현상이 생기(生起) 소멸 하는 법칙. 이에 따르면 모든 현상은 원인인 인(因)과 조건인 연(緣)이 상호 관계하여 성립하며, 인연이 없으면 결과도 없다.		2	llm	1	1177540
o			2	latin		狂乱	きょうらん	fury; frenzy; madness; wildness	광란; 미쳐 날<0xEB><0x8E><0xA0>음	미친 듯이 어지럽게 날뜀.		2	default	2	1237660
o			2	kanji		門扉	もんぴ	door(s) of a gate	문(門)의 문	문틀이나 창틀에 끼워서 여닫게 되어 있는 문이나 창의 한 짝.		2	default	2	1536270
o			2	kanji		鎮魂	ちんこん	repose of a soul; ceremony for the repose of a departed soul	진혼(鎭魂); 영혼을 편안하게 함	죽은 사람의 넋을 달래어 고이 잠들게 함.		2	default	2	1432060
o			2	kanji		開城	かいじょう	surrender of a castle; surrender of a fortress; capitulation of a stronghold	성(城)을 함락시키다; 항복	성문을 엶.		2	default	3	1202780
o			2	latin		工賃	こうちん	labor cost; charge; wages; pay	공임; 품<0xEC><0x82><0xAF>	직공들이 품을 판 대가.		2	default	3	1278190
o			2	kanji		官製	かんせい	government-manufactured	관제(官製)	정부가 경영하는 기업체나 관청에서 물건을 만듦. 또는 그렇게 만든 물품.		2	default	3	1211720
o			2	latin		交遊	こうゆう	friendship; companionship; fraternity; comradeship	교류; 사<0xEA><0xB7><0x90>	서로 사귀어 놀거나 왕래함.		2	default	3	1272570
o			2	kanji,kana		大老	たいろう	(Edo-period) chief minister	대노(幕府の重臣)	세상에서 존경받는 어진 노인.		2	default	3	1785590
o			2	kanji		大喪	たいそう	funeral service of a Japanese emperor; Imperial mourning	황실의 큰 상(喪)	임금의 상사(喪事).		2	default	3	1890670
o			2	kanji		大潮	おおしお	spring tide	대조(大潮)	음력 보름과 그믐 무렵에 밀물이 가장 높은 때.		2	default	3	1787060
o			2	kanji		無印	むじるし	unlabeled; unbranded	무지(無字); 상표가 없는	도장이 찍혀 있지 않음.		2	default	3	2001130
o			2	kanji		物種	ものだね	origin; fundamental element	종(種); 근본 요소	물건의 종류.		2	default	3	1722890
o			2	kanji		半官半民	はんかんはんみん	semi-governmental; semi-official	반(半)정부적; 반(半)공식적	정부와 민간인이 공동으로 자본을 대어 회사, 시설, 단체 따위를 설립·경영하는 일.		2	default	3	1479080
o			2	kanji		半農	はんのう	part-time farming	반농(半農); 부분적인 농업	다른 생업을 겸한 농업.		2	default	3	1479840
o			2	kanji		方丈	ほうじょう	square jō (approx. 10 sq feet); abbot's chamber; chief priest; Mount Fangzhang (said to be inhabited by immortals)	방장; 주지(住持)의 방	삼신산(三神山)의 하나. 동해에 있다고도 하며 지리산이라고도 한다.		2	default	3	1654980
o			2	latin		浮動	ふどう	floating	부동; 떠<0xEB>둥거림	물이나 공기 중에 떠서 움직임.		2	default	3	1497530
o			2	kanji		悲歌	ひか	elegy; dirge; mournful melody	비가(悲歌); 애가	슬프고 애잔한 노래.		2	default	3	1689100
o			2	kanji		死線	しせん	borderline between life and death; verge of death; deadline (boundary around a prison which prisoners were not allowed to cross)	사망선; 생사(生死)의 경계	죽을 고비.		2	default	3	1767780
o			2	kanji		三宝	さんぼう	the Three Jewels; the Triple Gem; Triratna; the Three Treasures	삼보(三寶): 부처, 법, 승가	세 가지 보배라는 뜻으로, 귀와 입과 눈을 이르는 말.		2	default	3	1579430
o			2	kanji		成鳥	せいちょう	adult bird	성조(成鳥)	다 자라 생식 능력을 가진 새.		2	default	3	1764280
o			2	kanji		輸液	ゆえき	transfusion	수액(輸液)	쇼크, 탈수증, 영양실조 따위에, 혈액과 삼투압이 같은 다량의 액체를 주입하는 일. 생리적 식염수·링거액 따위의 여러 가지 전해질 용액을 쓰며, 영양 보급의 목적으로는 과당(果糖) 용액·포도당 용액 따위를 쓴다.		2	default	3	1538800
o			2	kanji		僧堂	そうどう	temple meditation hall or certain other temple structures	승가(僧伽)의 명상실; 사찰 건물	선원에서, 승려가 좌선하며 기거하는 집. 대개 절의 안쪽 오른편에 있는데 선원에서 가장 중요하게 여기는 장소로서 엄격한 규칙이 있다.		2	default	3	1398190
o			2	latin		眼中	がんちゅう	(one's) consideration; (taking) notice; interest; attention	눈에 <0xEB><0x9D><0x94>; 관심	눈의 안.		2	default	3	1804010
o			2	kanji		雅号	がごう	alias; pseudonym; pen name; nom de plume	호(號); 필명	문인이나 예술가 따위의 호나 별호를 높여 이르는 말.		2	default	3	1197910
o			2	kanji		冶金	やきん	metallurgy	야금(冶金)	광석에서 금속을 골라내는 일이나 골라낸 금속을 정제(精製)·합금(合金)·특수 처리하여 여러 가지 목적에 맞는 금속 재료를 만드는 일.		2	default	3	1536310
o			2	kanji		五体	ごたい	the whole body; the five styles of writing Chinese characters; the five parts of the body (head, two hands and two feet; or head, neck, chest, hands and feet)	오체; 오방(五方)	사람의 온몸.		2	default	3	1268500
o			2	kanji		油性	ゆせい	oil-based	유성(油性)	기름의 성질.		2	default	3	1695050
o			2	kanji		引導	いんどう	last words recited to the newly departed; requiem; converting people to Buddhism	진신(薦導); 영가	이끌어 지도함.		2	default	3	1169650
o			2	latin		紫紺	しこん	dark purple; bluish purple	짙은 남색; 자<0xEC><0xA4><0x8F>빛	자줏빛과 진남빛을 아울러 이르는 말.		2	default	3	1311690
o			2	kanji		前史	ぜんし	prehistory	선사(先史)	역사(歷史) 이전.		2	default	3	1393070
o			2	latin		除夜	じょや	New Year's Eve	섣달그<0xEB><0xAF><0x90>	섣달그믐날 밤.		2	default	3	1345800
o			2	latin		粗大	そだい	coarse; rough; bulky	거<0xEC><0xB9><0xA2>; 부피가 큼	‘조대하다’의 어근.		2	default	3	1397020
o			2	kanji		種付	たねつけ	mating	종지(種指); 교배	주로 가축 따위를 교미시키는 일.		2	default	3	1686540
o			2	kanji		種族	しゅぞく	race; tribe; ethnic group; species	종족; 민족; 종(種)	같은 종류의 생물 전체를 이르는 말.		2	default	3	1328840
o			2	latin		舟橋	ふなばし	pontoon bridge	<0xEB><0x97><0x8F>목 다리	작은 배를 한 줄로 여러 척 띄워 놓고 그 위에 널판을 건너질러 깐 다리.		2	default	3	1333210
o			2	latin		漂泊	ひょうはく	roaming; drifting about; wandering; drifting (with the current, on the tide, etc.)	떠<0xEB><0x8F><0x8E>; 방랑	풍랑을 만난 배가 물 위에 정처 없이 떠돎.		2	default	3	1617220
o			2	latin		香魚	あゆ	ayu (Plecoglossus altivelis); sweetfish	민물고기; <0xEC><0x95><0xB3>물고기	잉어의 한 품종. 비늘은 등지느러미 바로 아랫부분에만 있으며 성장 속도가 빠르다.		2	default	3	1586720
o			2	kanji,kana		喜寿	きじゅ	77th birthday	기축(七十七歳の祝い)	나이 일흔일곱 살을 달리 이르는 말.		2	default	3	1218840
o			2	latin		旧交	きゅうこう	old friendship	옛 사<0xEA><0xB7><0x90>	오래전부터 사귄 교분. 또는 전부터 교분이 있는 사람.		2	default	3	1591470
o			2	latin		渋柿	しぶがき	astringent persimmon	<0xEB><0x96><0xAB>은 감	맛이 떫은 감.		2	default	3	1335560
o			2	kanji		虚無	きょむ	nihility; nothingness	공허; 무(無)	아무것도 없이 텅 빔.		2	default	3	1232810
o			2	kanji		能楽	のうがく	noh play	노(能) 음악			3	default	0	1470140
o			2	untranslated		四百	よんひゃく	400; four hundred	400	달이 아주 이지러졌다는 뜻으로, 음력 초하룻날을 이르는 말. 또는 그날의 달을 이르는 말.		3	llm	0	1767090
o			2	kanji		一首	いっしゅ	one tanka; one poem	한 수(詩)	혼자의 몫. 또는 혼자의 힘.		3	llm	0	1163190
o			2	kanji		全米	ぜんべい	all of the United States; the whole of the USA; all of North and South America; the entire Americas	전미(全米); 미국 전체	조의 열매를 찧은 쌀.		3	llm	0	1396190
o			2	kanji		町長	ちょうちょう	town mayor	마을 장(長); 읍장	예전에, 물건을 만드는 것을 업으로 하던 사람.		3	llm	0	1428790
o			2	kanji		布団	ふとん	futon; Japanese bedding consisting of a mattress and a duvet; round cushion used for Zen meditation (traditionally made of woven bulrush leaves)	요(寢具); 좌식 매트리스	부들로 둥글게 틀어 만든 방석.		3	llm	0	1496890
o			2	kanji		公庫	こうこ	finance corporation	공庫	각 관아에서 쓰는 기구를 넣어 두던 창고.		3	llm	1	1273650
o			2	kanji		都営	とえい	(under) metropolitan government management	도영(都営)의	새로 부임하는 감사가 감영에 이르던 일.		3	llm	1	1700920
o			2	kanji		府立	ふりつ	prefectural; managed by an urban prefecture (Osaka or Kyoto)	부립의; 현(縣)에서 운영하는			3	default	1	1611460
o			2	kanji		府県	ふけん	prefectures (of Japan, excl. Tokyo and Hokkaido)	현(縣); 도도부현			3	default	1	1496900
o			2	kanji		砂防	さぼう	erosion control	사방(砂防); 토사 유출 방지	이십사방위의 하나. 정남(正南)에서 동으로 30도 방위를 중심으로 한 15도 각도 안의 방향이다.		3	llm	1	1291630
o			2	kanji		省令	しょうれい	ministerial ordinance	성령(省令)	영묘(靈妙)한 성정(性情).		3	llm	1	1351150
o			2	kanji		小結	こむすび	wrestler of the fourth highest rank	사부(師父)급 레슬러	물 따위가 막힌 것을 통하게 터놓음.		3	llm	1	1348020
o			2	kanji		英和	えいわ	English-Japanese; English-Japanese dictionary	영한(英和); 영어-일본어	일정한 의미를 갖고 움직이는 대상을 촬영하여 영사기로 영사막에 재현하는 종합 예술.		3	llm	1	1174720
o			2	kanji		正教	せいきょう	orthodoxy; (Greek) orthodox church	정교(正敎); 정통 교리	구세군 계급의 하나. 부교의 위이다.		3	llm	1	1376930
o			2	kanji		鳥居	とりい	torii (Shinto shrine archway)	신사(神社)의 문	‘조것01’을 구어적으로 이르는 말. ‘조것’에 서술격 조사 ‘이다’가 붙은 형태인 ‘조것이다’는 ‘조거다’로 줄어서 ‘조거’의 형태가 유지되고, ‘조것’에 주격 조사 ‘이’나 보격 조사 ‘이’가 붙은 형태인 ‘조것이’는 ‘조게’의 형태로 바뀐다.		3	llm	1	1430280
o			2	kanji		川柳	せんりゅう	senryū; comic haiku; humorous seventeen-mora poem	세녀(川柳); 해학적인 하이쿠	내의 흐름.		3	llm	1	1390110
o			2	latin		希少	きしょう	scarce; rare	희소함; 드<0xEB><0xAC><0xBE>	기뻐서 웃음.		3	llm	1	1222880
o			2	latin		可哀想	かわいそう	poor; pitiable; pathetic; pitiful	가<0xEC><0x97><0xBE>음; 딱함			3	default	2	1590740
o			2	kanji		郡部	ぐんぶ	rural districts; counties	군(郡) 지역	군붓과의 연체동물. 껍데기의 길이는 4~7cm, 지름은 5cm 정도로, 갈색 또는 회색을 띤 갈색이며 껍데기는 8개가 살 속에 묻혀 있는 형태로 타원형이고, 둥글고 자질구레한 돌기가 나 있다. 조간대의 바위 위에 붙어 살며 한국, 일본 등지에 분포한다.		3	llm	2	1249250
o			2	kanji		踏絵	ふみえ	fumi-e; fumie; tablet bearing Christian images, on which Edo-period authorities forced suspected Christians to trample; allegiance test	신앙심 시험 (踏絵)			3	default	2	1745070
o			2	kanji		長唄	ながうた	long epic song with shamisen accompaniment (developed in Edo in the early 17th century)	장가(長歌) (삼현금 반주를 곁들인 긴 노래)	‘맏파’를 속되게 이르는 말.		3	llm	2	1607380
o			2	kanji		県下	けんか	in the prefecture; prefectural	현(縣) 안	현재의 형편 아래. 주로 연설문 따위에서 쓴다.		3	llm	2	1258830
o			2	kanji		県営	けんえい	(under) prefectural management	현(縣)에서 운영하는	‘겨울’을 달리 이르는 말.		3	llm	2	1258820
o			2	kanji		宮司	ぐうじ	chief priest	궁사(宮司); 사찰의 주지	활을 만드는 사람.		3	llm	3	1228420
o			2	kanji		年功	ねんこう	long service	연공(年功); 근속 연수			3	default	3	1468580
o			2	kanji		隷書	れいしょ	clerical script (ancient, highly angular style of kanji)	예서(隷書)			3	default	3	1628220
o			2	kanji		名人芸	めいじんげい	masterful performance; virtuosity	명인(名人)의 솜씨; 기예			3	default	3	1752140
o			2	kanji		米審	べいしん	Rice Price Deliberative Council	미(米) 가격 심의회	일이 확실하지 아니하여 늘 마음을 놓을 수 없는 데가 있음.		3	llm	3	1907540
o			2	latin		四川	しせん	Sichuan (China); Szechuan; Szechwan	쓰<0xEC><0xB4><0xA8>	사철의 하늘. 곧 봄의 창천(蒼天), 여름의 호천(昊天), 가을의 민천(旻天), 겨울의 상천(上天)을 통틀어 이른다.		3	llm	3	1307290
o			2	kanji		序二段	じょにだん	jonidan; second lowest division	초초(序二段)			3	default	3	1952510
